arm,trace,rep,mean_cap_kbps,mean_sent_kbps,utilization,overshoot_frac,delivered,delivered_frac,lat_med_ms
ours-scream,cqi,rep1,4710.5,2326.8,0.624,0.068,540,0.9,55.81
ours-scream,cqi,rep2,4710.5,2355.7,0.631,0.068,536,0.893,55.92
ours-scream,cqi,rep3,4710.5,2334.7,0.631,0.085,561,0.935,51.66
ours-scream,ho,rep1,2387.4,989.4,0.688,0.22,484,0.807,30.19
ours-scream,ho,rep2,2387.4,1045.0,0.721,0.22,476,0.793,31.88
ours-scream,ho,rep3,2387.4,1027.1,0.725,0.271,403,0.672,28.34
ours-scream,rb,rep1,1825.0,1035.2,0.681,0.119,485,0.808,40.17
ours-scream,rb,rep2,1825.0,1048.5,0.68,0.085,481,0.802,42.0
ours-scream,rb,rep3,1825.0,1036.5,0.68,0.119,482,0.803,39.18
umn-scream,cqi,rep1,4710.5,2773.2,0.723,0.136,600,1.0,
umn-scream,cqi,rep2,4710.5,2773.2,0.719,0.121,600,1.0,
umn-scream,cqi,rep3,4710.5,779.7,0.216,0.0,600,1.0,
umn-scream,ho,rep1,2387.4,2773.2,1.336,0.712,600,1.0,
umn-scream,ho,rep2,2387.4,2773.2,1.338,0.727,600,1.0,
umn-scream,ho,rep3,2387.4,2773.2,1.337,0.697,600,1.0,
umn-scream,rb,rep1,1825.0,779.7,0.566,0.117,600,1.0,
umn-scream,rb,rep2,1825.0,1299.2,0.894,0.333,600,1.0,
umn-scream,rb,rep3,1825.0,779.7,0.566,0.117,600,1.0,
umn-scream-s2,cqi,rep1,4710.5,779.7,0.216,0.0,600,1.0,
umn-scream-s2,cqi,rep2,4710.5,779.7,0.216,0.0,600,1.0,
umn-scream-s2,cqi,rep3,4710.5,779.7,0.216,0.0,600,1.0,
umn-scream-s2,ho,rep1,2387.4,779.7,0.602,0.167,553,0.922,
umn-scream-s2,ho,rep2,2387.4,783.1,0.605,0.167,552,0.92,
umn-scream-s2,ho,rep3,2387.4,803.1,0.598,0.159,169,0.282,
umn-scream-s3,cqi,rep1,4710.5,779.7,0.216,0.0,600,1.0,
umn-scream-s3,cqi,rep2,4710.5,779.7,0.216,0.0,600,1.0,
umn-scream-s3,cqi,rep3,4710.5,787.4,0.217,0.0,324,0.54,
umn-scream-s3,ho,rep1,2387.4,773.6,0.596,0.164,554,0.923,
umn-scream-s3,ho,rep2,2387.4,783.1,0.604,0.167,549,0.915,
umn-scream-s3,ho,rep3,2387.4,779.7,0.602,0.167,554,0.923,
umn-scream-v2,cqi,rep1,4710.5,779.7,0.216,0.0,600,1.0,
umn-scream-v2,cqi,rep2,4710.5,779.7,0.216,0.0,600,1.0,
umn-scream-v2,cqi,rep3,4710.5,779.7,0.216,0.0,600,1.0,
umn-scream-v2,ho,rep1,2387.4,773.6,0.597,0.164,554,0.923,
umn-scream-v2,ho,rep2,2387.4,779.7,0.602,0.167,551,0.918,
umn-scream-v2,ho,rep3,2387.4,773.8,0.596,0.164,554,0.923,
umn-scream-v2,rb,rep1,1825.0,770.7,0.56,0.115,588,0.98,
umn-scream-v2,rb,rep2,1825.0,773.8,0.562,0.115,588,0.98,
umn-scream-v2,rb,rep3,1825.0,782.9,0.567,0.117,587,0.978,
